Weekly Relative SST data starts week centered on 9Sept1981

                Nino1+2      Nino3      Nino34     Nino4
 Week             SSTA       SSTA       SSTA       SSTA
 27MAR1991         0.2        0.4        0.5        0.6
 03APR1991        -0.2       -0.1        0.2        0.5
 10APR1991        -0.9       -0.3        0.3        0.6
 17APR1991        -0.5        0.3        0.7        0.7
 24APR1991        -0.6        0.4        0.6        0.5
 01MAY1991        -0.5        0.1        0.2        0.4
 08MAY1991        -0.1        0.0        0.0        0.3
 15MAY1991         0.1        0.4        0.6        1.0
 22MAY1991         0.7        0.6        0.7        0.9
 29MAY1991         0.5        0.6        0.7        0.9
 05JUN1991         0.1        0.7        0.5        0.3
 12JUN1991         0.1        0.7        0.5        0.3
 19JUN1991        -0.2        0.6        0.6        0.5
 26JUN1991        -0.1        1.2        1.0        0.6
 03JUL1991         0.0        0.7        0.6        0.4
 10JUL1991         0.6        1.0        0.7        0.0
 17JUL1991         0.5        1.0        0.9        0.7
 24JUL1991         0.2        0.6        0.5        0.3
 31JUL1991         0.4        0.6        0.7        0.5
 07AUG1991         0.3        0.4        0.7        0.6
 14AUG1991         0.5        0.5        0.9        0.7
 21AUG1991         0.3        0.6        1.0        0.8
 28AUG1991         0.2        0.5        0.6        0.5
 04SEP1991         0.4        0.3        0.4        0.3
 11SEP1991         0.4       -0.1        0.3        0.3
 18SEP1991         0.4        0.6        0.9        0.6
 25SEP1991         0.4        0.7        0.8        0.5
 02OCT1991         0.5        0.7        0.8        0.9
 09OCT1991         0.3        0.6        1.3        1.3
 16OCT1991         0.0        0.3        0.9        1.0
 23OCT1991         0.7        0.6        0.9        0.9
 30OCT1991         1.3        1.0        1.1        0.9
 06NOV1991         0.9        1.1        1.2        0.8
